Time_submitted,Review
2022-07-03 04:01:57,Sound quality in premium category has decreased. Earlier I was really impressed compare to any other music streaming app.
2022-01-31 05:08:08,"One less star just for the lack of a clear queue button in the app.. I keep getting the same darn podcast that auto plays.. Glitch city. What is the point of downloading songs or episodes when the app just streams anyway. If I have a connection to the internet, the podcast I'm listening to keeps buffering. If I disconnect, then it runs fine. So glitchy"
2022-04-19 21:34:01,Spotify changes my songs by itself. It's fustrating especially when I'm driving and there's not jack I can do about it.
2022-06-20 11:26:11,I thoroughly enjoy the app it's super easy to use and the search results are endless from Playlist to song I've never known exist from artists I love
2022-04-13 22:29:00,Please fix the play situation. It's not showing the medis controls on lock screens or even in Spotify app. The only way for me to stop the music is by completely closing the app.
2022-06-01 03:11:49,"Great , wish I could download and keep my play list..."
2022-03-31 11:40:55,"Premium customer for nearly a decade but it seems a bit ridiculous to pay $10 a month for an app with such awful load times, ignored bugs (which are mentioned in nearly every 1 star review) and routine crashes. I feel like for everytime this app is rendered useless, we should receive a credit on our accounts or something. I literally paid $10 for an icon on my phone last month. Maybe a better development and security team is needed, who knows."
2022-07-08 22:23:23,"Rn I am unable to pause, skip & play music in my spotify playlist. I usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. If I play a song from my playlist the next song in that playlist does not play for some reason. Or if I want to pause a song that is playing I'd have to close the app entirely. I have this problem whether I use my earbuds or not. I've never had this problem"
2022-01-25 16:12:55,It have too much add uf a person who can't buy the premium they force him to take spotify premium by their adds....this is not my review it's a problem of mine...😤😤😡😡😡
2022-04-06 20:11:11,Much better than when I first used it more than a decade ago. I'm yet to know any other music repository like it. I duff my hat for Spotify!
2022-04-02 01:17:06,The mobile experience is horrible without Premium. SoundCloud offers so much more for so much less. Not worth it.
2022-07-04 01:26:12,"The play bar keeps disappearing. Only restarting the phone fixes it, but then it disappears again. This problem has been known for 2 months and still not fixed"
2022-03-19 22:16:24,"It really irritates me that my playlists keep getting removed from my homescreen and replaced by podcasts I accidentally clicked on. Now I permanently have 2 absolutely random podcasts on my homescreen in which I have 0 interests. I have to navigate so much through the app just to get to my playlist. Please fix this, I have no interest in the podcast side of spotify"
2022-03-28 09:23:36,ads were reduced earlier but they are significantly increased again... There are two ad after every 2 songs like how do you want us to use this app
2022-06-24 02:22:19,Love it but it's been laggy lately
2022-05-07 10:58:43,a little low price would be superb
2022-06-02 05:55:31,Bad experience. Too many ads.
2022-06-17 08:41:34,Great music and songs 🎵 👌 🎶
2022-03-20 18:18:17,Song recommendations are good. Bollywood recommendations need to improve. Ads should decrease. English lyrics are really required for non-English songs.
2022-06-09 02:01:11,Love it! Been enjoying the streaming. Good Playlist features. Been recently loving the lyrics.
2022-07-08 22:09:51,Good free music. Easy to use.
2022-05-01 14:48:00,Ads when you pay money for a service is totally unacceptable. Makes the service annoying to use and they have broken their podcast feature
2022-03-19 10:07:28,This app is trash. I only use it for Joe Rogan podcasts. I pay for it and it still keeps glitching and will randomly change episodes and i will have to start the episode from scratch when i come back to it because it dose not keep a record of where you left it
2022-04-14 19:31:34,"Since 8.7.20.1261 playbar goes missing, plays or stops randomly, plays multiple songs at once. Doesn't clear up after force close or reboots. Really annoyed since I actually pay for this app."
2022-05-09 05:47:08,I want to share with friends for a long time without changing accounts. Why can I only join another Premium once a year?
2022-04-23 02:18:23,It will not let me play my play list with out shuffling or adding song that are not in my play list so fix this please i have not had this promblem befor but other than that it is a good streaming platform
2022-03-16 20:53:19,Great app good selection of songs use it to listen daily
2022-06-02 02:49:38,I'm happy 😊😊 and relax every to listen .my favorite song play on Spotify thanks.
2022-04-20 14:36:30,Full of ads
2022-04-21 19:53:50,I no longer have the option to preview songs.
2022-06-23 15:58:09,My only problem random song shuffled.i want to listen to unstoppable sound and it randomly shuffle the song to happier.other tan that it's op
